index,x,y,z,ray_x,ray_y,ray_z,min_distance
5,-0.012774553,0.180616179,0.172379252,0.258480932,0.676460726,-0.689629244,inf
6,-0.015329464,0.216739415,0.206855102,0,0.690418949,-0.723409756,inf
6,-0.015329464,0.216739415,0.206855102,-0.258480932,0.657326261,-0.707891089,inf
6,-0.015329464,0.216739415,0.206855102,-0.499346817,0.579437876,-0.644130814,inf
6,-0.015329464,0.216739415,0.206855102,-0.70618304,0.462061756,-0.536474088,inf
6,-0.015329464,0.216739415,0.206855102,-0.864894057,0.313196892,-0.39225754,inf
6,-0.015329464,0.216739415,0.206855102,-0.964663973,0.142988177,-0.221309288,inf
6,-0.015329464,0.216739415,0.206855102,-0.998693633,-0.036964946,-0.035279175,inf
6,-0.015329464,0.216739415,0.206855102,-0.964663973,-0.214398969,0.153155156,inf
6,-0.015329464,0.216739415,0.206855102,-0.864894057,-0.377222057,0.331152217,inf
6,-0.015329464,0.216739415,0.206855102,-0.70618304,-0.514338084,0.4865818,inf
6,-0.015329464,0.216739415,0.206855102,-0.499346817,-0.616402822,0.608851639,inf
6,-0.015329464,0.216739415,0.206855102,-0.258480932,-0.676460726,0.689629244,inf
6,-0.015329464,0.216739415,0.206855102,-1.22E-16,-0.690418949,0.723409756,inf
6,-0.015329464,0.216739415,0.206855102,0.258480932,-0.657326261,0.707891089,inf
6,-0.015329464,0.216739415,0.206855102,0.499346817,-0.579437876,0.644130814,inf
6,-0.015329464,0.216739415,0.206855102,0.70618304,-0.462061756,0.536474088,inf
6,-0.015329464,0.216739415,0.206855102,0.864894057,-0.313196892,0.39225754,inf
6,-0.015329464,0.216739415,0.206855102,0.964663973,-0.142988177,0.221309288,inf
6,-0.015329464,0.216739415,0.206855102,0.998693633,0.036964946,0.035279175,inf
6,-0.015329464,0.216739415,0.206855102,0.964663973,0.214398969,-0.153155156,inf
6,-0.015329464,0.216739415,0.206855102,0.864894057,0.377222057,-0.331152217,inf
6,-0.015329464,0.216739415,0.206855102,0.70618304,0.514338084,-0.4865818,inf
6,-0.015329464,0.216739415,0.206855102,0.499346817,0.616402822,-0.608851639,inf
6,-0.015329464,0.216739415,0.206855102,0.258480932,0.676460726,-0.689629244,inf
7,-0.017884375,0.252862651,0.241330953,0,0.690418949,-0.723409756,inf
7,-0.017884375,0.252862651,0.241330953,-0.258480932,0.657326261,-0.707891089,inf
7,-0.017884375,0.252862651,0.241330953,-0.499346817,0.579437876,-0.644130814,inf
7,-0.017884375,0.252862651,0.241330953,-0.70618304,0.462061756,-0.536474088,inf
7,-0.017884375,0.252862651,0.241330953,-0.864894057,0.313196892,-0.39225754,inf
7,-0.017884375,0.252862651,0.241330953,-0.964663973,0.142988177,-0.221309288,inf
7,-0.017884375,0.252862651,0.241330953,-0.998693633,-0.036964946,-0.035279175,inf
7,-0.017884375,0.252862651,0.241330953,-0.964663973,-0.214398969,0.153155156,inf
7,-0.017884375,0.252862651,0.241330953,-0.864894057,-0.377222057,0.331152217,inf
7,-0.017884375,0.252862651,0.241330953,-0.70618304,-0.514338084,0.4865818,inf
7,-0.017884375,0.252862651,0.241330953,-0.499346817,-0.616402822,0.608851639,inf
7,-0.017884375,0.252862651,0.241330953,-0.258480932,-0.676460726,0.689629244,inf
7,-0.017884375,0.252862651,0.241330953,-1.22E-16,-0.690418949,0.723409756,inf
7,-0.017884375,0.252862651,0.241330953,0.258480932,-0.657326261,0.707891089,inf
7,-0.017884375,0.252862651,0.241330953,0.499346817,-0.579437876,0.644130814,inf
7,-0.017884375,0.252862651,0.241330953,0.70618304,-0.462061756,0.536474088,inf
7,-0.017884375,0.252862651,0.241330953,0.864894057,-0.313196892,0.39225754,inf
7,-0.017884375,0.252862651,0.241330953,0.964663973,-0.142988177,0.221309288,inf
7,-0.017884375,0.252862651,0.241330953,0.998693633,0.036964946,0.035279175,inf
7,-0.017884375,0.252862651,0.241330953,0.964663973,0.214398969,-0.153155156,inf
7,-0.017884375,0.252862651,0.241330953,0.864894057,0.377222057,-0.331152217,inf
7,-0.017884375,0.252862651,0.241330953,0.70618304,0.514338084,-0.4865818,inf
7,-0.017884375,0.252862651,0.241330953,0.499346817,0.616402822,-0.608851639,inf
7,-0.017884375,0.252862651,0.241330953,0.258480932,0.676460726,-0.689629244,inf
8,-0.020439285,0.288985887,0.275806803,0,0.690418949,-0.723409756,inf
8,-0.020439285,0.288985887,0.275806803,-0.258480932,0.657326261,-0.707891089,inf
8,-0.020439285,0.288985887,0.275806803,-0.499346817,0.579437876,-0.644130814,inf
8,-0.020439285,0.288985887,0.275806803,-0.70618304,0.462061756,-0.536474088,inf
8,-0.020439285,0.288985887,0.275806803,-0.864894057,0.313196892,-0.39225754,inf
8,-0.020439285,0.288985887,0.275806803,-0.964663973,0.142988177,-0.221309288,inf
8,-0.020439285,0.288985887,0.275806803,-0.998693633,-0.036964946,-0.035279175,inf
8,-0.020439285,0.288985887,0.275806803,-0.964663973,-0.214398969,0.153155156,inf
8,-0.020439285,0.288985887,0.275806803,-0.864894057,-0.377222057,0.331152217,inf
8,-0.020439285,0.288985887,0.275806803,-0.70618304,-0.514338084,0.4865818,inf
8,-0.020439285,0.288985887,0.275806803,-0.499346817,-0.616402822,0.608851639,inf
8,-0.020439285,0.288985887,0.275806803,-0.258480932,-0.676460726,0.689629244,inf
8,-0.020439285,0.288985887,0.275806803,-1.22E-16,-0.690418949,0.723409756,inf
8,-0.020439285,0.288985887,0.275806803,0.258480932,-0.657326261,0.707891089,inf
8,-0.020439285,0.288985887,0.275806803,0.499346817,-0.579437876,0.644130814,inf
8,-0.020439285,0.288985887,0.275806803,0.70618304,-0.462061756,0.536474088,inf
8,-0.020439285,0.288985887,0.275806803,0.864894057,-0.313196892,0.39225754,inf
8,-0.020439285,0.288985887,0.275806803,0.964663973,-0.142988177,0.221309288,inf
8,-0.020439285,0.288985887,0.275806803,0.998693633,0.036964946,0.035279175,inf
8,-0.020439285,0.288985887,0.275806803,0.964663973,0.214398969,-0.153155156,inf
8,-0.020439285,0.288985887,0.275806803,0.864894057,0.377222057,-0.331152217,inf
8,-0.020439285,0.288985887,0.275806803,0.70618304,0.514338084,-0.4865818,inf
8,-0.020439285,0.288985887,0.275806803,0.499346817,0.616402822,-0.608851639,inf
8,-0.020439285,0.288985887,0.275806803,0.258480932,0.676460726,-0.689629244,inf
9,-0.022994196,0.325109123,0.310282654,0,0.690418949,-0.723409756,inf
9,-0.022994196,0.325109123,0.310282654,-0.258480932,0.657326261,-0.707891089,inf
9,-0.022994196,0.325109123,0.310282654,-0.499346817,0.579437876,-0.644130814,inf
9,-0.022994196,0.325109123,0.310282654,-0.70618304,0.462061756,-0.536474088,inf
9,-0.022994196,0.325109123,0.310282654,-0.864894057,0.313196892,-0.39225754,inf
9,-0.022994196,0.325109123,0.310282654,-0.964663973,0.142988177,-0.221309288,inf
9,-0.022994196,0.325109123,0.310282654,-0.998693633,-0.036964946,-0.035279175,inf
9,-0.022994196,0.325109123,0.310282654,-0.964663973,-0.214398969,0.153155156,inf
9,-0.022994196,0.325109123,0.310282654,-0.864894057,-0.377222057,0.331152217,inf
9,-0.022994196,0.325109123,0.310282654,-0.70618304,-0.514338084,0.4865818,inf
9,-0.022994196,0.325109123,0.310282654,-0.499346817,-0.616402822,0.608851639,inf
9,-0.022994196,0.325109123,0.310282654,-0.258480932,-0.676460726,0.689629244,inf
9,-0.022994196,0.325109123,0.310282654,-1.22E-16,-0.690418949,0.723409756,inf
9,-0.022994196,0.325109123,0.310282654,0.258480932,-0.657326261,0.707891089,inf
9,-0.022994196,0.325109123,0.310282654,0.499346817,-0.579437876,0.644130814,inf
9,-0.022994196,0.325109123,0.310282654,0.70618304,-0.462061756,0.536474088,inf
9,-0.022994196,0.325109123,0.310282654,0.864894057,-0.313196892,0.39225754,inf
9,-0.022994196,0.325109123,0.310282654,0.964663973,-0.142988177,0.221309288,inf
9,-0.022994196,0.325109123,0.310282654,0.998693633,0.036964946,0.035279175,inf
9,-0.022994196,0.325109123,0.310282654,0.964663973,0.214398969,-0.153155156,inf
9,-0.022994196,0.325109123,0.310282654,0.864894057,0.377222057,-0.331152217,inf
9,-0.022994196,0.325109123,0.310282654,0.70618304,0.514338084,-0.4865818,inf
9,-0.022994196,0.325109123,0.310282654,0.499346817,0.616402822,-0.608851639,inf
9,-0.022994196,0.325109123,0.310282654,0.258480932,0.676460726,-0.689629244,inf
10,-0.025549107,0.361232359,0.344758504,0,0.690418949,-0.723409756,inf
10,-0.025549107,0.361232359,0.344758504,-0.258480932,0.657326261,-0.707891089,inf
10,-0.025549107,0.361232359,0.344758504,-0.499346817,0.579437876,-0.644130814,inf
10,-0.025549107,0.361232359,0.344758504,-0.70618304,0.462061756,-0.536474088,inf
10,-0.025549107,0.361232359,0.344758504,-0.864894057,0.313196892,-0.39225754,inf
10,-0.025549107,0.361232359,0.344758504,-0.964663973,0.142988177,-0.221309288,inf
10,-0.025549107,0.361232359,0.344758504,-0.998693633,-0.036964946,-0.035279175,inf
10,-0.025549107,0.361232359,0.344758504,-0.964663973,-0.214398969,0.153155156,inf
