x,y,z
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.830000000000000071e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.840000000000000080e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.850000000000000089e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.860000000000000098e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.870000000000000107e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.880000000000000115e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.890000000000000124e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.900000000000000133e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.910000000000000142e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.920000000000000151e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.930000000000000160e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.940000000000000169e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.950000000000000178e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.960000000000000187e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.970000000000000195e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.980000000000000204e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-8.990000000000000213e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.000000000000000222e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.010000000000000231e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.020000000000000240e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.030000000000000249e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.040000000000000258e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.050000000000000266e-01
-1.454289902315299976e+00,-1.456453134450030051e-01,-9.060000000000000275e-01
